Robert Clabough: CS311 LZ Homework part 2
Total time: 834512
16,3
6,4
4,3
6,5
6,5
8,5
6,4
7,5
7,4
4,4
3,4
5,4
3,5
3,4
3,6
3,6
8,9
4,5
4,6
3,7
3,6
3,5
3,3
3,2
2,5
2,1
1,2
1,2
2,2
3,2
3,2
2,2
4,2
3,5
3,3
3,3
3,3
3,2
2,2
2,2
4,2
3,2
3,2
3,3
4,3
5,6
4,3
4,2
3,1
4,1
5,3
5,2
5,3
7,8
2,2
2,2
3,2
2,2
3,2
3,2
6,2
3,2
4,2
3,3
4,2
3,3
7,5
8,4
10,8
9,6
4,5
4,2
4,2
3,3
3,3
3,3
4,3
3,3
4,2
5,2
3,3
4,2
2,2
2,1
3,2
2,2
4,4
6,4
6,7
5,5
6,4
6,5
6,2
3,2
2,3
3,2
4,2
3,2
3,2
3,2
3,2
3,2
3,3
3,2
3,3
3,2
3,2
4,2
4,3
4,3
4,2
4,6
9,7
9,9
14,14
13,9
12,3
3,3
4,3
4,3
3,4
4,3
5,4
4,3
4,4
4,4
4,4
4,4
4,3
4,3
4,3
5,4
5,5
4,4
5,4
6,4
7,4
8,21
20,21
26,19
20,16
18,16
18,9
5,5
5,4
5,3
5,5
5,4
5,4
8,7
7,6
8,5
8,4
7,6
8,7
7,5
8,6
6,5
6,6
8,6
6,5
6,5
7,6
8,6
7,7
9,6
8,5
7,4
6,8
13,7
9,7
9,7
8,8
7,7
9,8
7,6
8,8
9,7
8,5
7,6
6,6
7,6
7,6
7,6
7,5
6,7
7,6
7,7
7,5
7,6
7,7
7,6
8,7
8,7
7,7
7,7
8,6
9,7
8,6
8,6
8,7
8,7
8,6
10,7
8,7
8,9
8,8
10,8
15,9
10,9
13,9
12,10
12,8
12,7
10,8
8,7
9,9
12,10
12,9
9,9
9,10
13,13
12,8
9,12
10,12
14,8
12,8
12,8
10,10
11,11
10,9
9,10
10,9
10,8
10,9
10,9
10,8
10,8
10,8
11,9
11,9
10,10
10,9
12,9
11,9
10,10
11,10
12,9
11,10
13,10
11,10
11,9
12,10
11,11
12,10
11,10
11,10
12,12
12,10
12,11
12,10
11,10
13,12
14,14
19,14
20,16
18,13
15,11
14,11
13,12
15,14
17,16
13,12
17,10
13,16
17,15
15,13
18,14
13,11
13,12
14,11
13,12
15,12
13,12
13,14
15,11
14,15
13,12
14,15
14,12
14,12
14,12
14,13
14,13
14,14
16,12
15,12
14,12
16,13
14,14
17,13
18,17
16,13
20,19
23,17
25,18
22,18
17,17
21,18
24,28
30,21
26,22
24,22
23,22
28,33
24,21
27,18
17,13
17,13
17,14
17,16
16,15
17,16
17,16
18,14
17,16
18,18
19,15
19,19
18,15
21,16
21,19
20,21
25,20
25,21
24,22
23,19
19,16
17,15
18,21
25,16
18,17
19,17
18,17
19,21
23,18
19,17
19,15
20,18
20,18
19,16
20,23
20,17
21,23
20,17
20,19
21,19
20,18
21,19
21,17
20,19
20,22
24,21
24,22
22,24
22,19
21,18
23,18
22,22
22,18
20,18
22,17
21,18
22,20
22,19
21,19
21,24
25,26
23,22
27,23
28,20
29,21
27,20
23,21
25,20
22,20
23,19
23,22
30,25
37,25
23,25
23,20
24,20
22,21
24,20
28,21
22,21
23,26
30,25
30,22
25,24
29,26
25,29
28,21
24,22
24,22
26,22
24,24
24,23
25,22
30,24
39,29
28,23
25,22
25,21
28,22
27,23
24,29
31,24
33,29
29,25
28,31
29,23
29,24
28,23
26,23
26,29
26,25
27,36
35,26
38,53
68,52
47,33
44,36
46,38
32,31
30,29
31,24
29,29
28,25
29,24
28,25
27,26
29,26
30,27
29,26
38,25
27,27
30,33
35,35
40,36
33,27
32,35
34,32
32,26
32,30
30,28
29,28
29,29
30,33
30,29
30,27
31,28
31,28
31,31
32,35
41,38
45,38
44,38
36,32
38,32
36,30
35,35
32,29
32,31
32,32
32,28
33,31
32,31
48,44
37,33
40,34
39,44
46,43
43,34
38,32
33,32
34,31
35,32
34,32
33,33
33,32
34,31
36,33
35,37
38,37
37,41
38,34
35,37
50,49
42,34
36,34
46,38
40,32
36,32
36,34
37,35
36,42
49,37
58,59
63,47
56,50
78,46
53,37
42,32
37,33
37,32
37,35
36,34
46,41
43,46
38,43
41,45
40,38
38,36
38,35
45,45
50,38
38,35
41,36
41,37
39,50
47,37
51,37
44,39
40,45
40,38
42,39
42,36
42,46
63,44
48,37
59,57
53,41
50,45
44,38
44,46
43,37
44,38
44,38
43,38
42,39
41,45
59,53
52,43
50,41
49,54
44,43
43,40
43,39
47,39
58,44
44,41
42,40
44,44
56,57
61,53
46,42
45,42
44,40
56,71
73,57
68,51
49,43
48,46
50,47
58,61
63,49
48,42
47,41
51,46
53,42
46,42
48,43
47,46
57,49
53,48
48,59
67,55
49,43
50,46
48,43
48,46
55,55
49,49
57,53
57,51
61,54
58,55
72,59
49,45
49,48
50,47
49,45
56,50
63,63
62,61
55,48
51,49
60,59
63,47
51,47
50,48
58,62
60,51
59,56
62,48
51,49
52,49
57,53
66,56
79,70
89,83
72,49
54,52
52,51
53,53
72,61
52,55
71,51
61,59
59,60
62,58
57,49
57,52
56,61
55,52
55,51
58,58
76,67
63,55
61,64
55,57
59,55
58,53
